>JGI1221J11331_10105342	A_1
>GBIDBA_1001224916	A_170
>JGI12109J20283_100523822	A_171
>Ga0194055_100265342	A_172
>WP_013938221.1 cytochrome c oxidase subunit I [Corallococcus macrosporus]	A_173
>JGI12698J15209_10005441	A_174
>Ga0079303_100126783	A_175
>OLC19144.1 cytochrome c oxidase subunit I [Chloroflexi bacterium 13_1_40CM_68_21]	A_176
>Ga0153943_100005540	A_177
>Ga0075030_1001226922	A_178
>Ga0075017_1000657051	A_179
>Ga0180074_10021712	A_180
>C688J18823_100342673	A_181
>Ga0115563_10003296	A_182
>PLX25075.1 cytochrome c oxidase subunit I [Ignavibacteria bacterium]	A_183
>Ga0075017_1000120794	A_184
>JGI12210J13797_103785193	A_185
>JGI1652J44930_100412421	A_186
>Ga0105672_11380392	A_187
>Ga0075509_10262569	A_188
>Ga0115567_100426973	A_189
>JGI24129J20441_10060654	A_190
>Ga0079220_100134361	A_191
>Ga0226657_1000014090	A_192
>PKB78301.1 cytochrome c oxidase subunit I [SAR202 cluster bacterium Io17-Chloro-G9]	A_193
>Ga0075015_1001371161	A_194
>Ga0075488_15413501	A_195
>SRS016752_Baylor_scaffold_4070__gene_3972	A_196
>Ga0079224_1005035361	A_197
>Ga0137438_10031462	A_198
>Ga0075522_100441572	A_199
>OIR23296.1 cytochrome c oxidase subunit I [Marine Group III euryarchaeote CG-Epi3]	A_200
>Ga0075030_1003224541	A_201
>C688J35102_1207229871	A_202
>SS_3KL_010_SOILDRAFT_100009802	A_203
>SDZ26756.1 cytochrome c oxidase subunit 1 [Thermoactinomyces sp. DSM 45892]	A_204
>C688J18823_100962131	A_205
>ANC58140.1 cytochrome c oxidase subunit 1 [Methylacidiphilum sp. RTK17.1]	A_206
>Ga0172380_100091618	A_207
>JGI20177J14857_10008337	A_208
>Ga0065721_100570907	A_209
>Ga0079225_100023707	A_210
>ASY96065.1 cytochrome c oxidase subunit 1 (mitochondrion) [Tetradesmus obliquus]	A_211
>Ga0180435_100433423	A_212
>Ga0194059_10079422	A_213
>Ga0079221_101420861	A_214
>Ga0058697_100100032	A_215
>NICFPass4SGDRAFT_00064212	A_216
>Ga0058691_100011736	A_217
>PKB63209.1 cytochrome c oxidase subunit I [SAR202 cluster bacterium Io17-Chloro-G1]	A_218
>Ga0194055_100078664	A_219
>Ga0134063_100929171	A_220
>Ga0180061_10084401	A_221
>JGI12298J13902_10006519	A_222
>Ga0123333_100204912	A_223
>Ga0065723_1012332	A_224
>Ga0206126_100199391	A_225
>Ga0194055_1000069623	A_226
>Ga0008834_100010325	A_227
>Ga0180431_1000298316	A_228
>Ga0075510_108590302	A_229
>WP_008286835.1 cytochrome c oxidase subunit I [Hydrogenivirga sp. 128-5-R1-1]	A_230
>Ga0206126_100332071	A_231
>OUM99845.1 cytochrome c oxidase subunit I [Firmicutes bacterium ZCTH02-B6]	A_232
>Ga0079223_100005966	A_233
>WP_012122029.1 cytochrome c oxidase subunit I [Roseiflexus castenholzii]	A_234
>C688J18823_100211331	A_235
>Ga0172380_1000147739	A_236
>WP_013579875.1 cytochrome-c oxidase [Granulicella tundricola]	A_237
>Ga0079221_100863771	A_238
>Ga0213881_100343401	A_239
>Ga0063454_1000076171	A_240
>Ga0180082_10128942	A_241
>Ga0079223_100021551	A_242
>Ga0058694_10018773	A_243
>Ga0194035_10318601	A_244
>OJW04403.1	A_245
>Ga0212090_100005959	A_246
>Ga0075030_1002289532	A_247
>Ga0063326_10800413	A_248
>OGC80880.1 cytochrome o ubiquinol oxidase subunit I [Candidatus Adlerbacteria bacterium RIFCSPLOWO2_01_FULL_51_16]	A_249
>BeoS_FeMat_6568CDRAFT_10023741	A_250
>Ga0172380_1000027041	A_251
>WP_005045973.1 cytochrome-c oxidase [Halococcus salifodinae]	A_252
>Ga0075017_1000325353	A_253
>ACD_60C00003G0005	A_254
>Ga0052186_100607992	A_255
>GBIDBA_101317581	A_256
>WP_084684024.1 cytochrome c oxidase subunit I [Haematobacter massiliensis]	A_257
>Ga0075517_14781492	A_258
>Ga0075504_10516665	A_259
>Ga0134083_100096772	A_260
>Ga0075492_14879751	A_261
>OGX12155.1 cytochrome c oxidase subunit I [Omnitrophica WOR_2 bacterium GWA2_63_20]	A_262
>Ga0180429_1000379413	A_263
>Ga0160427_100070212	A_264
>Ga0131853_1000327224	A_265
>Ga0055539_10015574	A_266
>ABO09359.1 Cytochrome-c oxidase [Pyrobaculum calidifontis JCM 11548]	A_267
>Ga0134075_100014059	A_268
>Ga0134085_1000109610	A_269
>Ga0075495_13704351	A_270
>JGI20189J14885_100079410	A_271
>Ga0075028_1000090133	A_272
>Ga0079225_101325872	A_273
>Ga0180435_100029739	A_274
>Ga0063454_1000873871	A_275
>Ga0075496_14966021	A_276
>OGU59169.1 cytochrome c oxidase subunit I [Ignavibacteria bacterium GWF2_33_9]	A_277
>Ga0194049_10065562	A_278
>Ga0075472_1000039915	A_279
>Ga0134082_100502811	A_280
>Ga0008835_1062043	A_281
>Ga0063454_1000321241	A_282
>Ga0180047_10211252	A_283
>Ga0008835_10023914	A_284
>WP_015816465.1 cytochrome c oxidase subunit I [Neorickettsia risticii]	A_285
>Ga0075505_14749041	A_286
>SL_6KL_011_BRINEDRAFT_100025110	A_287
>OGR57075.1 cytochrome C oxidase subunit I [Elusimicrobia bacterium GWA2_38_7]	A_288
>JGI24111J20145_10023821	A_289
>Ga0075522_100884132	A_290
>JGI12053J12875_1002591	A_291
>Ga0157580_1228561	A_292
>Ga0075488_15720261	A_293
>NICFPass4SGDRAFT_00047811	A_294
>WP_092196617.1 hypothetical protein [Blastococcus sp. DSM 46838]	A_295
>Ga0153928_10026338	A_296
>Ga0164241_100525171	A_297
>Ga0075493_10639001	A_298
>Ga0075517_10318551	A_299
>Ga0079217_101175611	A_300
>Ga0080008_1304976	A_301
>Ga0194054_100093602	A_302
>Ga0153798_1000052115	A_303
>Ga0226657_100028613	A_304
>Ga0181858_10007267	A_305
>Ga0206126_1000187719	A_306
>EQB63719.1 cytochrome c oxidase polypeptide I [candidate division Zixibacteria bacterium RBG-1]	A_307
>Ga0212088_100629873	A_308
>Ga0079217_100192533	A_309
>SL_4KL_010_BRINEDRAFT_100602811	A_310
>Ga0079225_100270074	A_311
>HLSNC_100040237	A_312
>SS_2KS_010_SOILDRAFT_100403221	A_313
>Ga0079225_100209501	A_314
>Ga0075530_10066882	A_315
>Ga0075488_16402741	A_316
>Ga0134088_101187591	A_317
>Ga0081527_1005065	A_318
>WP_049927112.1 cytochrome-c oxidase [Halopiger goleimassiliensis]	A_319
>Ga0074605_10415622	A_320
>Ga0134079_1000001923	A_321
>JGI25320J50211_1000003165	A_322
>WP_084661417.1 cytochrome ubiquinol oxidase subunit I [Sulfobacillus thermosulfidooxidans]	A_323
>Ga0075516_13984181	A_324
>Ga0134089_100366392	A_325
>PIQ26718.1 cytochrome c oxidase subunit I [bacterium (Candidatus Blackallbacteria) CG18_big_fil_WC_8_21_14_2_50_49_26]	A_326
>Ga0075021_1000022530	A_327
>JGI26538J50259_10130152	A_328
>SS_2KS_010_SOILDRAFT_100022351	A_329
>Ga0079217_100376331	A_330
>KVRMV2_1005343341	A_331
>Ga0079224_1001272382	A_332
>SL_1KL_011_SEDDRAFT_100571741	A_333
>Ga0194050_10115731	A_334
>Ga0123332_10036528	A_335
>Ga0137459_10015746	A_336
>Ga0115551_10046856	A_337
>Ga0008837_10018124	A_338
>Ga0181858_10162851	A_339
>Ga0065720_100284510	A_340
>Ga0116204_10404141	A_341
>Ga0075514_15939211	A_342
>Ga0075471_1000003637	A_343
>Ga0079218_100014042	A_344
>Ga0075522_100546343	A_345
>WP_008474733.1 cytochrome c oxidase subunit I [Nitrolancea hollandica]	A_346
>Ga0075505_14973111	A_347
>Ga0058693_10259761	A_348
>SL_3KL_010_SEDDRAFT_100119135	A_349
>Ga0079224_1000020456	A_350
>SL_3KL_010_SEDDRAFT_100467252	A_351
>Ga0006883J46559_10026651	A_352
>Ga0172382_100157493	A_353
>Ga0075530_10023343	A_354
>Ga0213869_1000020043	A_355
>EchG_transB_7880CDRAFT_10004419	A_356
>Ga0134085_100782331	A_357
>Ga0075517_15636061	A_358
>WP_028962690.1 cytochrome c oxidase subunit I [Sulfobacillus thermosulfidooxidans]	A_359
>WP_101351104.1 cytochrome C oxidase subunit I [Haloarcula taiwanensis]	A_360
>SL_4KL_010_BRINEDRAFT_100266181	A_361
>JGI24732J26686_10126951	A_362
>JGI25321J50212_1000022241	A_363
>WP_029214434.1 cytochrome c oxidase subunit I [bacterium JKG1]	A_364
>Ga0055534_10019521	A_365
>Ga0137463_10255203	A_366
>Ga0075497_10532071	A_367
>Ga0137437_10322691	A_368
>Ga0213841_10021176	A_369
>Ga0075513_12162531	A_370
>Ga0075522_100011313	A_371
>Ga0213882_100457481	A_372
>NICFPass4XylDRAFT_00001218	A_373
>Ga0075017_1002648901	A_374
>JGI12699J13341_1000142	A_375
>PCH78637.1 cytochrome c oxidase subunit I [Planctomycetes bacterium]	A_376
>WP_026443100.1 cytochrome-c oxidase [Acidobacterium ailaaui]	A_377
>Ga0134103_10017904	A_378
>WP_054970767.1 cytochrome c oxidase subunit I [Alicyclobacillus ferrooxydans]	A_379
>KVRMV2_1011995193	A_380
>JGI12659J15293_100031713	A_381
>BAM05104.1 cytochrome c oxidase subunit I [Phycisphaera mikurensis NBRC 102666]	A_382
>WP_054492930.1 cytochrome c oxidase subunit I [Ardenticatena maritima]	A_383
>C688J14111_100017455	A_384
>JGI11876J14442_100840431	A_385
>GAJ98305.1 cytochrome c oxidase polypeptide I [Geomicrobium sp. JCM 19055]	A_386
>Ga0123327_10693311	A_387
>Ga0164297_100264324	A_388
>Ga0115567_1000118424	A_389
>Ga0214277_104132961	A_390
>Ga0079224_10000739414	A_391
>Ga0065720_101883388	A_392
>Ga0006883J46559_10157851	A_393
>Ga0194041_100012146	A_394
>Ga0137465_10336231	A_395
>Ga0079222_100013611	A_396
>Draft_0580007	A_397
>Ga0075018_100767611	A_398
>Ga0079221_100427901	A_399
>Ga0079225_100419255	A_400
>Ga0160429_100110712	A_401
>Ga0079218_103104201	A_402
>BeoS_FeMat_6568CDRAFT_100003425	A_403
>Ga0079223_100000133	A_404
>Ga0079220_100886062	A_405
>Ga0079224_1001194612	A_406
>Ga0212090_100433693	A_407
>Ga0075526_10004232	A_408
>Ga0213881_100917471	A_409
>Ga0212088_100467553	A_410
>SL_6KL_011_BRINEDRAFT_100056111	A_411
>Ga0213882_1000015323	A_412
>Ga0075471_100087892	A_413
>JGI12677J13195_10007771	A_414
>JGI12712J15308_100346151	A_415
>Ga0065721_1004971310	A_416
>WP_014895042.1 MULTISPECIES: cytochrome o ubiquinol oxidase subunit I [whitefly endosymbionts]	A_417
>WP_014053357.1 cytochrome-c oxidase [halophilic archaeon DL31]	A_418
>JGI12706J13280_100271	A_419
>WP_013087918.1 cytochrome o ubiquinol oxidase subunit I [Candidatus Riesia pediculicola]	A_420
>JGI1652J44930_100162622	A_421
>KVRMV2_1000198211	A_422
>OGE73781.1 cytochrome o ubiquinol oxidase subunit I [Candidatus Doudnabacteria bacterium RIFCSPHIGHO2_01_FULL_41_86]	A_423
>BAL55017.1 cytochrome c oxidase subunit I [uncultured planctomycete]	A_424
>Ga0063331_1444581	A_425
>Ga0194063_100869791	A_426
>Ga0134075_100225873	A_427
>AmiMGMT1_4114181	A_428
>Ga0194051_10313773	A_429
>Ga0232059_11724202	A_430
>OUT69281.1 cytochrome c oxidase subunit I [Planctomycetaceae bacterium TMED10]	A_431
>Ga0180430_100010334	A_432
>Ga0154003_10002487	A_433
>GL0_11423381	A_434
>Ga0180436_102447561	A_435
>C688J18823_101584381	A_436
>Ga0134083_100757831	A_437
>Deep_10259601	A_438
>Ga0206125_100194111	A_439
>Ga0074278_1414845	A_440
>Ga0075014_1000756341	A_441
>Ga0075504_14044691	A_442
>Ga0075496_14195601	A_443
>Ga0137439_10125871	A_444
>Ga0075487_12565041	A_445
>NICFPass4XylDRAFT_0055921	A_446
>Ga0079226_100188822	A_447
>Ga0164241_100192072	A_448
>Ga0075504_13424651	A_449
>Ga0075471_100144903	A_450
>SS_3KL_010_SOILDRAFT_100346761	A_451
>JGI24113J20146_10008369	A_452
>Ga0129319_10352581	A_453
>JGI20207J14881_10080853	A_454
>Ga0075472_100489791	A_455
>Ga0063326_10801243	A_456
>GBIDBA_10000007194	A_457
>Ga0180429_100448552	A_458
>GBIDBA_100465232	A_459
>Ga0115549_10021081	A_460
>GBIDBA_100062425	A_461
>C688J35102_1209881638	A_462
>EchG_transB_7880CDRAFT_10010463	A_463
>Ga0075029_1000826822	A_464
>Ga0075490_10109242	A_465
>Ga0075504_10398371	A_466
>Ga0058697_100103592	A_467
>Ga0213832_10037132	A_468
>Ga0079224_1000133294	A_469
>Ga0134075_100246074	A_470
>Ga0075017_1001774522	A_471
>Ga0075522_101251301	A_472
>Ga0075530_10030826	A_473
>Ga0164296_10599821	A_474
>Ga0194061_10023741	A_475
>BeoS_FeMat_6568CDRAFT_10008191	A_476
>Ga0206123_100032862	A_477
>Ga0172382_102321431	A_478
>Ga0097691_10265382	A_479
>Ga0172382_103049311	A_480
>Ga0075017_1000100692	A_481
>Ga0063454_1000052211	A_482
>Ga0079224_1000006897	A_483
>Ga0180429_102156721	A_484
>JGI24140J50213_100231661	A_485
>Ga0075475_100073834	A_486
>Ga0206123_10000004211	A_487
>Ga0006883J46559_10009961	A_488
>Ga0081527_1034823	A_489
>Ga0079215_100184333	A_490
>Ga0172380_101135481	A_491
>Ga0079224_1000282071	A_492
>BLZ4_10003248	A_493
>Ga0075488_10055871	A_494
>Ga0075524_100417542	A_495
>Ga0079222_100414762	A_496
>PBR_100029223	A_497
>KRT60364.1 cytochrome-c oxidase, cytochrome c oxidase subunit I [Chloroflexi bacterium CSP1-4]	A_498
>Ga0079302_10019024	A_499
>WP_014802515.1 cytochrome c oxidase subunit I [Turneriella parva]	A_500
>Abe_101075051	A_501
>Ga0213867_10567001	A_502
>WP_020220913.1 hypothetical protein [Halarchaeum acidiphilum]	A_503
>GBD04318.1 Alternative cytochrome c oxidase subunit 1 [bacterium HR19]	A_504
>Ga0074231_1019416	A_505
>JGI12419J13241_10087203	A_506
>ADM89665.1 putative cytochrome bo terminal oxidase subunit I/cytochrome bo terminal oxidase subunit III fusion protein [Candidatus Zinderia insecticola CARI]	A_507
>Ga0123355_100667321	A_508
>Ga0180047_10003301	A_509
>JGI20207J14881_10127101	A_510
>WP_093286256.1 hypothetical protein [Verrucomicrobium sp. GAS474]	A_511
>BLZ4_10003403	A_512
>Ga0079224_1000582252	A_513
>Ga0079216_101442721	A_514
>Ga0172382_101672101	A_515
>JGI20205J14842_10080561	A_516
>BAN90028.1 cytochrome c oxidase (aa3-type) subunit I [Aeropyrum camini SY1 = JCM 12091]	A_517
>Ga0184571_1132851	A_518
>Ga0079226_1000052813	A_519
>Ga0079226_100190302	A_520
>Ga0180083_10118761	A_521
>Ga0137460_10019421	A_522
>Ga0115545_10338901	A_523
>JGI12659J15293_1000001628	A_524
>SS_2KS_010_SOILDRAFT_100060005	A_525
>Ga0075021_100872951	A_526
>BAJ48632.1 cytochrome c oxidase subunit I [Candidatus Caldiarchaeum subterraneum]	A_527
>WP_022540770.1 heme/copper-type cytochrome/quinol oxidase subunit 1 [Aeropyrum camini]	A_528
>OFV90355.1 cytochrome c oxidase subunit I [Acidobacteria bacterium RIFCSPLOWO2_02_FULL_64_15]	A_529
>PCJ16759.1 cytochrome c oxidase subunit I [Candidatus Cloacimonetes bacterium]	A_530
>Ga0180107_10702241	A_531
>Ga0052162_1016425	A_532
>Ga0172382_101192873	A_533
>Ga0075021_100674401	A_534
>JGI990J12352_10007003	A_535
>Ga0172382_1000511711	A_536
>Ga0075517_10393971	A_537
>Ga0172382_100070427	A_538
>Ga0182793_10352802	A_539
>Ga0074278_11231811	A_540
>Ga0153798_1000291717	A_541
>EchG_transB_7880CDRAFT_10026324	A_542
>Ga0079223_101420901	A_543
>Mariner_10068642	A_544
>Ga0063454_1001002311	A_545
>Ga0123328_10779081	A_546
>Abe_100636552	A_547
>C688J35102_1207133412	A_548
>WP_008481905.1 Cytochrome c oxidase, fused subunit I and III (fragment, part 2) [Nitrolancea hollandica]	A_549
>GBD11362.1 Cytochrome c oxidase subunit 1 [bacterium HR23]	A_550
>PBR_10016688	A_551
>JGI25065J35084_1001141	A_552
>Ga0180047_10743092	A_553
>JGI12659J15293_100048766	A_554
>Ga0123332_10545811	A_555
>Ga0213882_100459631	A_556
>Ga0134067_100222631	A_557
>WP_093287051.1 cytochrome c oxidase subunit I [Verrucomicrobium sp. GAS474]	A_558
>Ga0052266_1023173	A_559
>Ga0172382_100244904	A_560
>WP_013496006.1 cytochrome-c oxidase [Thermaerobacter marianensis]	A_561
>Ga0075493_15313691	A_562
>Ga0194061_10002406	A_563
>Ga0065721_10003569151	A_564
>Ga0079226_101670261	A_565
>Ga0164241_1000731011	A_566
>Ga0079216_100048491	A_567
>Ga0079224_1000176856	A_568
>Ga0058699_10011206	A_569
>Ga0180436_101331551	A_570
>Ga0213882_100264982	A_571
>JGI12712J15308_1000089310	A_572
>Abe_100780441	A_573
>HBC_ctgsDRAFT_10001474	A_574
>Ga0075505_14207921	A_575
>JGI26524J50256_100011492	A_576
>Ga0099364_101976522	A_577
>Ga0137462_10057312	A_578
>Ga0075019_101130071	A_579
>Ga0079221_100934741	A_580
>Ga0075521_100413793	A_581
>Ga0065720_10326512	A_582
>Ga0075512_12817131	A_583
>Ga0075018_100705931	A_584
>Ga0075019_101460351	A_585
>Ga0194042_10265381	A_586
>Ga0206126_101067801	A_587
>Ga0075488_15128701	A_588
>SMF20835.1 cytochrome c oxidase subunit 1 [Pseudobacteriovorax antillogorgiicola]	A_589
>Ga0075513_12948041	A_590
>GBD26865.1 Cytochrome c oxidase subunit 1 [bacterium HR30]	A_591
>PCJ60527.1 cytochrome c oxidase subunit I [Planctomycetes bacterium]	A_592
>KVWGV2_107195483	A_593
>SS_2KS_010_SOILDRAFT_100031841	A_594
>Abe_100161716	A_595
>Ga0226662_100375031	A_596
>Ga0164241_100233642	A_597
>WP_014400750.1 cytochrome-c oxidase [Corallococcus coralloides]	A_598
>Ga0104761_10245121	A_599
>Ga0058699_100036413	A_600
>Ga0213864_100007002	A_601
>KVRMV2_1000580842	A_602
>Ga0212089_100047157	A_603
>Ga0063455_1000934851	A_604
>Ga0194058_100514241	A_605
>Ga0075019_100186322	A_606
>Ga0190293_10005158	A_607
>Ga0075503_15580691	A_608
>Ga0079219_101469211	A_609
>BeoS_FeMat_6568CDRAFT_10006591	A_610
>Ga0136643_100810691/1-923 Heme/copper-type cytochrome/quinol oxidase, subunit 1	A_611
>Ga0006883J46559_10045851	A_612
>A07AB_00158710	A_613
>Ga0079224_1005878211	B_1
>WP_007258545.1	B_2
>WP_014495345.1	B_3
>WP_013079397.1	B_4
>Ga0194060_100253835	B_5
>Ga0065724_10239822	B_6
>Ga0079224_1000941285	B_7
>WP_016329708.1	B_8
>SS_3KL_010_SOILDRAFT_100154484	B_9
>WP_013074487.1	B_10
>Ga0079221_101046681	B_11
>Ga0123333_100138022	B_12
>SL_3KL_010_SEDDRAFT_100017751	B_13
>WP_031457965.1	B_14
>WP_081425721.1	B_15
>AP72_2010_repI_A001DRAFT_10044562	B_16
>WP_035512879.1	B_17
>NICFPass4SGDRAFT_0029975	B_18
>Ga0164296_10270644	B_19
>WP_068137166.1	B_20
>KVWGV2_101747683	B_21
>Ga0070920_13908152	B_22
>Ga0075021_100654941	B_23
>WP_035412616.1	B_24
>LTJ07AB_130260	B_25
>WP_017379571.1	B_26
>2206273062	B_27
>Ga0180085_10291142	B_28
>WP_112486653.1	B_29
>Ga0181858_100096711	B_30
>Ga0070450_15679351	B_31
>NICFPass4ILDRAFT_00031717	B_32
>JGI1652J44930_100024287	B_33
>JGI12630J15595_100025145	B_34
>KXB97290.1	B_35
>NICFPass4MCCDRAFT_0008362	B_36
>WP_012992609.1	B_37
>Ga0180089_10111561	B_38
>Ga0153924_10022951	B_39
>C688J18823_100503843	B_40
>GL0_10346851	B_41
>Ga0006883J46559_10219454	B_42
>WP_039721631.1	B_43
>Ga0137448_10069552	B_44
>ZC3D78_1009644	B_45
>WP_027483790.1	B_46
>Ga0180063_10378871	B_47
>WP_083726040.1	B_48
>ZC3D78_1043751	B_49
>OJF17234.1	B_50
>Ga0105672_10175436	B_51
>Ga0184650_101324	B_52
>WP_013458307.1	B_53
>JGI24112J20307_100009418	B_54
>Ga0075530_10188122	B_55
>Ga0226655_1000505010	B_56
>JGI20191J14862_10079331	B_57
>JGI12109J20283_104255541	B_58
>Ga0080008_1331893	B_59
>WP_014434108.1	B_60
>Ga0079224_1002774292	B_61
>BAC56140.1	B_62
>Ga0232059_12760812	B_63
>PID85365.1	B_64
>WP_022541761.1	B_65
>Ga0232058_11403222	B_66
>SL_3KL_010_SEDDRAFT_100316303	B_67
>Ga0075019_100230215	B_68
>JGI1652J44930_100152543	B_69
>KPV52298.1	B_70
>WP_088571936.1	B_71
>PJF46842.1	B_72
>C688J18823_1000008928	B_73
>AET32186.1	B_74
>GBD26393.1	B_75
>KVRMV2_1012057392	B_76
>BeoS_FeMat_6568CDRAFT_100000160	B_77
>GBD39849.1	B_78
>Ga0137463_10049363	B_79
>SL_1KL_011_SEDDRAFT_100108693	B_80
>WP_028988320.1	B_81
>OGP02699.1	B_82
>Ga0213836_1061074	C_1
